ikss_ka,skss_mw,rk_ohm,xk_ohm
26.243194054073896,4999.999999999999,0.26487890003389886,2.648789000338992
6.4821304698622315,224.54758630183406,0.03371155068219414,1.959205555705676
3.000535527556741,103.94159967287521,1.446531550682171,3.9783255557056822
1.5824594670320806,54.81800395635861,3.66095155068211,7.143045555705722
1.4847211475867907,51.432249253845825,3.9665615506821017,7.579805555705724
1.4049780833504624,48.66986847767484,4.2471215506821,7.980765555705721
1.223950457715359,42.398887574203684,5.018661550682089,9.083405555705722
1.1978678227067674,41.49535859360058,5.148921550682095,9.269565555705743
1.3876674698575207,48.070211236075586,4.312251550682097,8.073845555705743
1.3468084765587531,46.65481418928395,4.472571550682095,8.302965555705743
1.2576448531558164,43.56609567086748,4.858341550682094,8.85428555570575
1.2229264117743919,42.3634135822229,5.023671550682091,9.090565555705753
6.482130469862218,224.5475863018336,0.033711550682199824,1.9592055557056798
2.8092174211891603,97.31414606014488,2.5276115506822023,3.748945555705678
2.011328634716785,69.67446772095231,4.052511550682205,4.843285555705676
